id,description,category,location,date,latitude,longitude
1,Broken road near residential area,Roads,Secunderabad,2025-09-05,17.4399,78.4983
2,Road repair work incomplete,Roads,Uppal,2025-12-23,17.4058,78.5591
3,Road repair work incomplete,Roads,Kondapur,2026-01-18,17.466,78.363
4,Road repair work incomplete,Roads,LB Nagar,2025-06-04,17.3457,78.552
5,Road damaged after recent rains,Roads,Panjagutta,2025-12-07,17.4283,78.4524
6,Uneven road surface creating traffic issues,Roads,Uppal,2025-08-24,17.4058,78.5591
7,Large pothole causing accidents,Roads,Uppal,2025-12-17,17.4058,78.5591
8,Road damaged after recent rains,Roads,Banjara Hills,2026-03-14,17.4126,78.4482
9,Uneven road surface creating traffic issues,Roads,Banjara Hills,2026-01-23,17.4126,78.4482
10,Uneven road surface creating traffic issues,Roads,Dilsukhnagar,2026-05-13,17.3688,78.5247
11,Large pothole causing accidents,Roads,Banjara Hills,2025-07-21,17.4126,78.4482
12,Broken road near residential area,Roads,Manikonda,2025-10-29,17.4062,78.39
13,Road damaged after recent rains,Roads,Miyapur,2026-03-13,17.4969,78.3562
14,Broken road near residential area,Roads,Hitech City,2025-09-20,17.4435,78.3772
15,Uneven road surface creating traffic issues,Roads,Secunderabad,2026-04-15,17.4399,78.4983
16,Large pothole causing accidents,Roads,Kompally,2025-11-21,17.5251,78.4832
17,Uneven road surface creating traffic issues,Roads,Banjara Hills,2026-05-05,17.4126,78.4482
18,Road repair work incomplete,Roads,Jubilee Hills,2025-08-13,17.4316,78.4071
19,Large pothole causing accidents,Roads,Dilsukhnagar,2026-04-07,17.3688,78.5247
20,Road damaged after recent rains,Roads,LB Nagar,2026-02-20,17.3457,78.552
21,Road damaged after recent rains,Roads,Kondapur,2026-03-22,17.466,78.363
22,Road repair work incomplete,Roads,Secunderabad,2026-01-28,17.4399,78.4983
23,Road damaged after recent rains,Roads,Panjagutta,2025-12-13,17.4283,78.4524
24,Broken road near residential area,Roads,Kompally,2025-11-07,17.5251,78.4832
25,Large pothole causing accidents,Roads,Kukatpally,2026-01-30,17.4948,78.3996
26,Road damaged after recent rains,Roads,Ameerpet,2025-07-05,17.4375,78.4482
27,Broken road near residential area,Roads,Madhapur,2025-11-29,17.4483,78.3915
28,Road damaged after recent rains,Roads,Gachibowli,2026-03-14,17.4401,78.3489
29,Road repair work incomplete,Roads,Kukatpally,2026-04-24,17.4948,78.3996
30,Road repair work incomplete,Roads,Banjara Hills,2025-09-29,17.4126,78.4482
31,Broken road near residential area,Roads,Kondapur,2026-01-22,17.466,78.363
32,Uneven road surface creating traffic issues,Roads,Gachibowli,2025-08-31,17.4401,78.3489
33,Large pothole causing accidents,Roads,Dilsukhnagar,2025-11-24,17.3688,78.5247
34,Road damaged after recent rains,Roads,Miyapur,2026-02-14,17.4969,78.3562
35,Broken road near residential area,Roads,Kondapur,2026-04-16,17.466,78.363
36,Uneven road surface creating traffic issues,Roads,Gachibowli,2025-11-30,17.4401,78.3489
37,Broken road near residential area,Roads,Dilsukhnagar,2025-06-09,17.3688,78.5247
38,Road repair work incomplete,Roads,Dilsukhnagar,2025-09-14,17.3688,78.5247
39,Road repair work incomplete,Roads,Ameerpet,2026-04-12,17.4375,78.4482
40,Large pothole causing accidents,Roads,Kompally,2025-06-08,17.5251,78.4832
41,Broken road near residential area,Roads,Ameerpet,2025-06-12,17.4375,78.4482
42,Large pothole causing accidents,Roads,Banjara Hills,2025-12-04,17.4126,78.4482
43,Road damaged after recent rains,Roads,Ameerpet,2025-06-23,17.4375,78.4482
44,Road damaged after recent rains,Roads,Secunderabad,2025-08-06,17.4399,78.4983
45,Road damaged after recent rains,Roads,Kompally,2025-12-16,17.5251,78.4832
46,Broken road near residential area,Roads,Gachibowli,2026-02-17,17.4401,78.3489
47,Road damaged after recent rains,Roads,Ameerpet,2026-03-22,17.4375,78.4482
48,Broken road near residential area,Roads,Kompally,2025-10-13,17.5251,78.4832
49,Road repair work incomplete,Roads,Manikonda,2026-04-19,17.4062,78.39
50,Large pothole causing accidents,Roads,Ameerpet,2025-11-18,17.4375,78.4482
51,Road repair work incomplete,Roads,Uppal,2025-12-27,17.4058,78.5591
52,Road repair work incomplete,Roads,Kondapur,2025-07-02,17.466,78.363
53,Uneven road surface creating traffic issues,Roads,Ameerpet,2026-04-23,17.4375,78.4482
54,Road repair work incomplete,Roads,Hitech City,2026-01-22,17.4435,78.3772
55,Broken road near residential area,Roads,Banjara Hills,2026-02-21,17.4126,78.4482
56,Large pothole causing accidents,Roads,Panjagutta,2026-01-03,17.4283,78.4524
57,Uneven road surface creating traffic issues,Roads,Kondapur,2025-11-26,17.466,78.363
58,Large pothole causing accidents,Roads,Secunderabad,2025-12-28,17.4399,78.4983
59,Large pothole causing accidents,Roads,Kondapur,2026-02-15,17.466,78.363
60,Broken road near residential area,Roads,Secunderabad,2025-06-28,17.4399,78.4983
61,Large pothole causing accidents,Roads,Miyapur,2025-08-23,17.4969,78.3562
62,Road damaged after recent rains,Roads,Madhapur,2025-07-05,17.4483,78.3915
63,Road damaged after recent rains,Roads,Secunderabad,2025-12-30,17.4399,78.4983
64,Road damaged after recent rains,Roads,Ameerpet,2025-07-20,17.4375,78.4482
65,Uneven road surface creating traffic issues,Roads,LB Nagar,2026-04-18,17.3457,78.552
66,Uneven road surface creating traffic issues,Roads,Hitech City,2026-03-02,17.4435,78.3772
67,Large pothole causing accidents,Roads,Gachibowli,2026-05-28,17.4401,78.3489
68,Road repair work incomplete,Roads,Kondapur,2025-09-12,17.466,78.363
69,Road damaged after recent rains,Roads,Gachibowli,2026-01-19,17.4401,78.3489
70,Uneven road surface creating traffic issues,Roads,Kompally,2026-05-19,17.5251,78.4832
71,Road damaged after recent rains,Roads,Gachibowli,2025-12-26,17.4401,78.3489
72,Road damaged after recent rains,Roads,Ameerpet,2025-11-22,17.4375,78.4482
73,Large pothole causing accidents,Roads,Uppal,2026-03-28,17.4058,78.5591
74,Broken road near residential area,Roads,Miyapur,2026-02-10,17.4969,78.3562
75,Road damaged after recent rains,Roads,Manikonda,2025-11-15,17.4062,78.39
76,Uneven road surface creating traffic issues,Roads,Kukatpally,2025-10-04,17.4948,78.3996
77,Broken road near residential area,Roads,Dilsukhnagar,2026-02-07,17.3688,78.5247
78,Large pothole causing accidents,Roads,Secunderabad,2025-06-10,17.4399,78.4983
79,Road damaged after recent rains,Roads,Kompally,2025-11-05,17.5251,78.4832
80,Large pothole causing accidents,Roads,Madhapur,2025-12-31,17.4483,78.3915
81,Road repair work incomplete,Roads,Secunderabad,2025-06-05,17.4399,78.4983
82,Road damaged after recent rains,Roads,Manikonda,2025-08-08,17.4062,78.39
83,Broken road near residential area,Roads,Dilsukhnagar,2026-01-28,17.3688,78.5247
84,Road repair work incomplete,Roads,Panjagutta,2026-01-11,17.4283,78.4524
85,Broken road near residential area,Roads,Hitech City,2025-07-10,17.4435,78.3772
86,Road damaged after recent rains,Roads,Gachibowli,2025-10-29,17.4401,78.3489
87,Broken road near residential area,Roads,Hitech City,2025-09-09,17.4435,78.3772
88,Large pothole causing accidents,Roads,Kondapur,2025-12-01,17.466,78.363
89,Large pothole causing accidents,Roads,Ameerpet,2025-12-16,17.4375,78.4482
90,Road repair work incomplete,Roads,LB Nagar,2026-01-10,17.3457,78.552
91,Road damaged after recent rains,Roads,Secunderabad,2025-06-11,17.4399,78.4983
92,Broken road near residential area,Roads,Miyapur,2025-09-21,17.4969,78.3562
93,Uneven road surface creating traffic issues,Roads,Uppal,2025-06-18,17.4058,78.5591
94,Road damaged after recent rains,Roads,Madhapur,2026-03-29,17.4483,78.3915
95,Uneven road surface creating traffic issues,Roads,LB Nagar,2026-04-07,17.3457,78.552
96,Road repair work incomplete,Roads,Ameerpet,2025-06-02,17.4375,78.4482
97,Large pothole causing accidents,Roads,Dilsukhnagar,2026-03-19,17.3688,78.5247
98,Uneven road surface creating traffic issues,Roads,Panjagutta,2025-11-13,17.4283,78.4524
99,Road damaged after recent rains,Roads,Kondapur,2025-11-08,17.466,78.363
100,Large pothole causing accidents,Roads,Hitech City,2025-11-13,17.4435,78.3772
101,Uneven road surface creating traffic issues,Roads,Hitech City,2025-08-10,17.4435,78.3772
102,Large pothole causing accidents,Roads,Madhapur,2025-07-16,17.4483,78.3915
103,Large pothole causing accidents,Roads,Kompally,2025-07-13,17.5251,78.4832
104,Broken road near residential area,Roads,Kondapur,2025-09-13,17.466,78.363
105,Uneven road surface creating traffic issues,Roads,Manikonda,2025-08-29,17.4062,78.39
106,Uneven road surface creating traffic issues,Roads,Manikonda,2026-04-09,17.4062,78.39
107,Road repair work incomplete,Roads,LB Nagar,2025-08-16,17.3457,78.552
108,Broken road near residential area,Roads,Kondapur,2025-12-15,17.466,78.363
109,Large pothole causing accidents,Roads,Jubilee Hills,2025-12-18,17.4316,78.4071
110,Road damaged after recent rains,Roads,Gachibowli,2025-12-10,17.4401,78.3489
111,Road damaged after recent rains,Roads,Dilsukhnagar,2026-02-27,17.3688,78.5247
112,Large pothole causing accidents,Roads,Dilsukhnagar,2026-03-23,17.3688,78.5247
113,Road damaged after recent rains,Roads,Kondapur,2025-11-02,17.466,78.363
114,Uneven road surface creating traffic issues,Roads,Manikonda,2025-11-14,17.4062,78.39
115,Road damaged after recent rains,Roads,Gachibowli,2026-02-07,17.4401,78.3489
116,Uneven road surface creating traffic issues,Roads,LB Nagar,2025-06-13,17.3457,78.552
117,Large pothole causing accidents,Roads,Kukatpally,2025-10-15,17.4948,78.3996
118,Road repair work incomplete,Roads,Kukatpally,2025-09-24,17.4948,78.3996
119,Broken road near residential area,Roads,Secunderabad,2026-02-05,17.4399,78.4983
120,Large pothole causing accidents,Roads,Kompally,2025-07-08,17.5251,78.4832
121,Broken road near residential area,Roads,Miyapur,2026-05-20,17.4969,78.3562
122,Large pothole causing accidents,Roads,Secunderabad,2026-01-19,17.4399,78.4983
123,Road repair work incomplete,Roads,LB Nagar,2025-12-16,17.3457,78.552
124,Road repair work incomplete,Roads,Hitech City,2026-03-11,17.4435,78.3772
125,Road repair work incomplete,Roads,Secunderabad,2025-08-07,17.4399,78.4983
126,Broken road near residential area,Roads,LB Nagar,2026-02-09,17.3457,78.552
127,Road repair work incomplete,Roads,Kondapur,2025-12-01,17.466,78.363
128,Broken road near residential area,Roads,Manikonda,2025-06-12,17.4062,78.39
129,Road damaged after recent rains,Roads,Miyapur,2025-12-06,17.4969,78.3562
130,Large pothole causing accidents,Roads,LB Nagar,2026-03-16,17.3457,78.552
131,Water leakage from main pipeline,Water,Dilsukhnagar,2025-06-07,17.3688,78.5247
132,Water supply interrupted for 3 days,Water,Miyapur,2026-01-22,17.4969,78.3562
133,Drinking water contamination reported,Water,Secunderabad,2025-11-13,17.4399,78.4983
134,Water leakage from main pipeline,Water,Dilsukhnagar,2025-12-08,17.3688,78.5247
135,Low water pressure affecting households,Water,Jubilee Hills,2025-11-04,17.4316,78.4071
136,Water leakage from main pipeline,Water,Ameerpet,2025-07-31,17.4375,78.4482
137,Water leakage from main pipeline,Water,Ameerpet,2025-06-06,17.4375,78.4482
138,Water supply interrupted for 3 days,Water,Madhapur,2026-03-25,17.4483,78.3915
139,Water supply interrupted for 3 days,Water,Miyapur,2025-12-18,17.4969,78.3562
140,Low water pressure affecting households,Water,Banjara Hills,2026-05-19,17.4126,78.4482
141,No drinking water available in locality,Water,Manikonda,2026-02-18,17.4062,78.39
142,Low water pressure affecting households,Water,Madhapur,2025-10-14,17.4483,78.3915
143,Low water pressure affecting households,Water,Ameerpet,2026-02-02,17.4375,78.4482
144,Drinking water contamination reported,Water,Dilsukhnagar,2025-12-23,17.3688,78.5247
145,Low water pressure affecting households,Water,Hitech City,2026-04-08,17.4435,78.3772
146,Water supply interrupted for 3 days,Water,Panjagutta,2025-10-27,17.4283,78.4524
147,No drinking water available in locality,Water,Jubilee Hills,2025-11-04,17.4316,78.4071
148,Low water pressure affecting households,Water,Miyapur,2025-09-02,17.4969,78.3562
149,Water supply interrupted for 3 days,Water,Ameerpet,2026-02-13,17.4375,78.4482
150,Low water pressure affecting households,Water,Panjagutta,2025-08-26,17.4283,78.4524
151,Water leakage from main pipeline,Water,Kompally,2025-08-30,17.5251,78.4832
152,Water supply interrupted for 3 days,Water,Madhapur,2026-05-28,17.4483,78.3915
153,Drinking water contamination reported,Water,Madhapur,2026-03-05,17.4483,78.3915
154,Low water pressure affecting households,Water,Miyapur,2026-03-27,17.4969,78.3562
155,No drinking water available in locality,Water,Kondapur,2025-06-03,17.466,78.363
156,Low water pressure affecting households,Water,Miyapur,2025-09-08,17.4969,78.3562
157,No drinking water available in locality,Water,Banjara Hills,2026-03-01,17.4126,78.4482
158,Water leakage from main pipeline,Water,LB Nagar,2025-11-01,17.3457,78.552
159,No drinking water available in locality,Water,Jubilee Hills,2026-04-10,17.4316,78.4071
160,Low water pressure affecting households,Water,Kondapur,2025-10-19,17.466,78.363
161,Drinking water contamination reported,Water,Banjara Hills,2025-12-19,17.4126,78.4482
162,Low water pressure affecting households,Water,Ameerpet,2026-05-18,17.4375,78.4482
163,Water supply interrupted for 3 days,Water,Jubilee Hills,2026-03-14,17.4316,78.4071
164,Drinking water contamination reported,Water,Kukatpally,2025-08-29,17.4948,78.3996
165,Low water pressure affecting households,Water,Panjagutta,2026-05-13,17.4283,78.4524
166,Low water pressure affecting households,Water,Manikonda,2025-09-28,17.4062,78.39
167,Low water pressure affecting households,Water,LB Nagar,2026-03-19,17.3457,78.552
168,No drinking water available in locality,Water,Jubilee Hills,2026-01-11,17.4316,78.4071
169,Drinking water contamination reported,Water,Panjagutta,2025-08-08,17.4283,78.4524
170,Water leakage from main pipeline,Water,Kompally,2025-08-23,17.5251,78.4832
171,Water leakage from main pipeline,Water,Kompally,2025-12-11,17.5251,78.4832
172,No drinking water available in locality,Water,Banjara Hills,2026-04-29,17.4126,78.4482
173,Drinking water contamination reported,Water,Panjagutta,2025-07-29,17.4283,78.4524
174,No drinking water available in locality,Water,Kukatpally,2025-12-15,17.4948,78.3996
175,No drinking water available in locality,Water,Secunderabad,2025-12-17,17.4399,78.4983
176,Low water pressure affecting households,Water,Dilsukhnagar,2025-09-20,17.3688,78.5247
177,Water supply interrupted for 3 days,Water,Kukatpally,2026-03-12,17.4948,78.3996
178,Water leakage from main pipeline,Water,Ameerpet,2026-04-21,17.4375,78.4482
179,Water supply interrupted for 3 days,Water,Kondapur,2026-03-26,17.466,78.363
180,Low water pressure affecting households,Water,Dilsukhnagar,2026-01-13,17.3688,78.5247
181,Low water pressure affecting households,Water,Ameerpet,2025-06-12,17.4375,78.4482
182,Water supply interrupted for 3 days,Water,Ameerpet,2026-01-17,17.4375,78.4482
183,Low water pressure affecting households,Water,Manikonda,2026-04-14,17.4062,78.39
184,Low water pressure affecting households,Water,Hitech City,2025-11-21,17.4435,78.3772
185,No drinking water available in locality,Water,Hitech City,2025-11-21,17.4435,78.3772
186,Drinking water contamination reported,Water,Ameerpet,2026-01-18,17.4375,78.4482
187,Low water pressure affecting households,Water,LB Nagar,2025-11-14,17.3457,78.552
188,Low water pressure affecting households,Water,LB Nagar,2025-08-08,17.3457,78.552
189,Water supply interrupted for 3 days,Water,Secunderabad,2026-03-29,17.4399,78.4983
190,No drinking water available in locality,Water,Banjara Hills,2026-02-10,17.4126,78.4482
191,Drinking water contamination reported,Water,Gachibowli,2025-10-08,17.4401,78.3489
192,Drinking water contamination reported,Water,Dilsukhnagar,2025-06-17,17.3688,78.5247
193,Water supply interrupted for 3 days,Water,Ameerpet,2025-07-04,17.4375,78.4482
194,Water leakage from main pipeline,Water,Panjagutta,2026-03-12,17.4283,78.4524
195,No drinking water available in locality,Water,LB Nagar,2026-01-14,17.3457,78.552
196,No drinking water available in locality,Water,Gachibowli,2026-05-24,17.4401,78.3489
197,No drinking water available in locality,Water,Uppal,2026-01-18,17.4058,78.5591
198,Water leakage from main pipeline,Water,Banjara Hills,2026-05-13,17.4126,78.4482
199,Water supply interrupted for 3 days,Water,Dilsukhnagar,2026-03-10,17.3688,78.5247
200,Low water pressure affecting households,Water,Uppal,2025-07-15,17.4058,78.5591
201,No drinking water available in locality,Water,Gachibowli,2025-06-03,17.4401,78.3489
202,Water leakage from main pipeline,Water,Banjara Hills,2025-07-26,17.4126,78.4482
203,Drinking water contamination reported,Water,Kukatpally,2025-06-12,17.4948,78.3996
204,No drinking water available in locality,Water,Ameerpet,2026-01-02,17.4375,78.4482
205,No drinking water available in locality,Water,Uppal,2025-10-27,17.4058,78.5591
206,Water leakage from main pipeline,Water,Jubilee Hills,2026-05-16,17.4316,78.4071
207,Drinking water contamination reported,Water,Ameerpet,2025-11-26,17.4375,78.4482
208,Water leakage from main pipeline,Water,LB Nagar,2025-12-23,17.3457,78.552
209,Drinking water contamination reported,Water,Madhapur,2026-03-26,17.4483,78.3915
210,Water supply interrupted for 3 days,Water,Banjara Hills,2026-05-28,17.4126,78.4482
211,Low water pressure affecting households,Water,Dilsukhnagar,2025-09-11,17.3688,78.5247
212,No drinking water available in locality,Water,Banjara Hills,2025-11-13,17.4126,78.4482
213,No drinking water available in locality,Water,Uppal,2026-01-07,17.4058,78.5591
214,Low water pressure affecting households,Water,Miyapur,2025-08-13,17.4969,78.3562
215,Low water pressure affecting households,Water,Kondapur,2025-09-07,17.466,78.363
216,Water supply interrupted for 3 days,Water,Dilsukhnagar,2025-10-16,17.3688,78.5247
217,Water supply interrupted for 3 days,Water,Gachibowli,2026-03-26,17.4401,78.3489
218,Low water pressure affecting households,Water,Secunderabad,2025-10-03,17.4399,78.4983
219,Low water pressure affecting households,Water,Gachibowli,2026-04-09,17.4401,78.3489
220,Water supply interrupted for 3 days,Water,Miyapur,2025-11-15,17.4969,78.3562
221,Water supply interrupted for 3 days,Water,LB Nagar,2025-06-10,17.3457,78.552
222,Low water pressure affecting households,Water,Kondapur,2025-10-09,17.466,78.363
223,Water leakage from main pipeline,Water,Banjara Hills,2025-11-16,17.4126,78.4482
224,Low water pressure affecting households,Water,Ameerpet,2025-07-17,17.4375,78.4482
225,Water supply interrupted for 3 days,Water,Panjagutta,2025-09-23,17.4283,78.4524
226,Drinking water contamination reported,Water,Ameerpet,2026-04-27,17.4375,78.4482
227,No drinking water available in locality,Water,LB Nagar,2026-05-10,17.3457,78.552
228,Water leakage from main pipeline,Water,Madhapur,2025-10-31,17.4483,78.3915
229,Water supply interrupted for 3 days,Water,Madhapur,2026-02-19,17.4483,78.3915
230,Low water pressure affecting households,Water,Gachibowli,2026-01-27,17.4401,78.3489
231,Low water pressure affecting households,Water,Secunderabad,2025-09-14,17.4399,78.4983
232,Drinking water contamination reported,Water,Kondapur,2026-04-23,17.466,78.363
233,Water supply interrupted for 3 days,Water,Secunderabad,2025-06-10,17.4399,78.4983
234,Drinking water contamination reported,Water,Secunderabad,2026-01-03,17.4399,78.4983
235,Low water pressure affecting households,Water,Madhapur,2025-10-18,17.4483,78.3915
236,Drinking water contamination reported,Water,Dilsukhnagar,2026-03-24,17.3688,78.5247
237,Water leakage from main pipeline,Water,Uppal,2026-05-15,17.4058,78.5591
238,Drinking water contamination reported,Water,Jubilee Hills,2026-05-28,17.4316,78.4071
239,Water leakage from main pipeline,Water,Banjara Hills,2025-09-27,17.4126,78.4482
